no,nim,kdjur,nmjur,nem,sks,status,ipk,kdsla,nmsla
548,2.09E+12,71,PENDIDIKAN DOKTER,48.05,14,0,3.3,31875002,"SMAN 1, Samarinda"
549,2.09E+12,71,PENDIDIKAN DOKTER,48.25,14,0,3.25,31840005,"SMA St. Laurensia , Tangerang"
550,2.09E+12,71,PENDIDIKAN DOKTER,48.4,14,0,3.3,31753787,"SMA Jubele, Sunter Agung"
551,2.09E+12,71,PENDIDIKAN DOKTER,48.5,14,0,3.36,31861005,"SMA Frateran, Surabaya"
552,2.09E+12,71,PENDIDIKAN DOKTER,48.5,14,0,3.42,520001,"SMA St. Kristoforus 2, Perum Taman Lestari"
553,2.09E+12,71,PENDIDIKAN DOKTER,48.55,14,0,3.49,31417001,"SMA St. Carolus, Bengkulu"
554,6.50E+11,22,ARSITEKTUR,48.55,14,0,3.39,33320052,"SMA Pramita, Tangerang"
555,3.28E+11,11,MANAJEMEN,48.6,14,0,3.45,1820003,"SMA Marsudirini, Bogor"
556,2.09E+12,71,PENDIDIKAN DOKTER,48.7,14,0,3.33,31753889,"SMA St. Yakobus, Pengangsaan"
557,3.57E+11,12,AKUNTANSI,48.8,14,0,3.52,33320024,"SMA Setia Bhakti, Tangerang"
558,2.09E+12,71,PENDIDIKAN DOKTER,48.9,14,0,3.57,31862001,"SMA Kolose St. Yusuf, Malang"
559,2.09E+12,71,PENDIDIKAN DOKTER,48.9,14,0,3.47,520017,"SMA Dian Harapan, Daan Mogot, Jakarta Barat"
560,2.09E+12,71,PENDIDIKAN DOKTER,49.2,14,0,3.3,31753889,"SMA St. Yakobus, Pengangsaan"
561,2.09E+12,71,PENDIDIKAN DOKTER,49.3,14,0,3.38,620020,"SMAK IPEKA, Pluit Jakarta Utara"
562,2.09E+12,71,PENDIDIKAN DOKTER,49.55,14,0,3.4,33410001,"SMAN 2, Cilegon"
563,2.09E+12,71,PENDIDIKAN DOKTER,49.6,14,0,3.25,31416009,"SMA Kusuma Bangsa, Palembang"
564,2.09E+12,71,PENDIDIKAN DOKTER,49.9,14,0,3.47,31840008,"SMA Dian Harapan, Tangerang"
